customer_id,signup_date,marketing_spend,visits,purchase_amount,segment,notes
33214727_c0001,2025-09-04,159.33,7,96.46,Consumer,
33214727_c0002,2025-05-22,43,4,,Enterprise,returned
33214727_c0003,27/01/2026,126.38,8,43.44,Enterprise,
33214727_c0004,2025-05-22,236.87,4,94.69,Consumer,N/A
33214727_c0005,2024-11-22,271.6,2,,Consumer,
33214727_c0006,2025-11-30,147.77,8,53.63,SMB,
33214727_c0007,"Jun 08, 2025",280.24,7,247.88,SMB,contacted
33214727_c0008,"Sep 21, 2024",25.64,1,58.31,SMB,contacted
33214727_c0009,2024-10-28,55.26,6,47.25,Consumer,
33214727_c0010,2026-01-05,285.48,5,165.67,Consumer,
33214727_c0011,13/12/2025,127.96,5,125.83,Consumer,
33214727_c0012,31/01/2025,93.03,6,26.34,Enterprise,
33214727_c0013,"Dec 07, 2025",250.12,4,169.2,Consumer,no response
33214727_c0014,"Oct 01, 2024",30.14,2,23.37,Consumer,
33214727_c0015,04/10/2025,70.9,6,5.57,SMB,
33214727_c0016,2025-11-20,29.81,1,34.58,SMB,
33214727_c0017,2025-06-24,166.87,7,90.38,Consumer,contacted
33214727_c0018,17/02/2025,37.37,2,140.33,Consumer,
33214727_c0019,10/06/2025,279.34,9,123.72,SMB,no response
33214727_c0020,2025-07-17,162.23,9,121.64,SMB,
33214727_c0021,"Oct 04, 2025",68.3,8,0,Consumer,contacted
33214727_c0022,2025-09-26,265.48,11,147.95,SMB,
33214727_c0023,2026-01-08,173,7,167.74,SMB,contacted
33214727_c0024,"Dec 30, 2025",3.34,3,0,SMB,returned
33214727_c0025,2025-02-08,4.21,4,,SMB,
33214727_c0026,2025-04-01,193.52,8,106.85,Consumer,
33214727_c0027,2025-02-24,217.82,6,132.19,SMB,
33214727_c0028,2025-09-19,22.74,6,14.15,Consumer,
33214727_c0029,2026-01-06,60.51,6,41.46,Consumer,contacted
33214727_c0030,2025-06-24,115.08,5,33.59,SMB,
33214727_c0031,2025-05-22,82.9,5,75.09,SMB,
33214727_c0032,"Dec 20, 2024",206.55,7,,Consumer,
33214727_c0033,2024-09-21,214.09,5,147.08,SMB,contacted
33214727_c0034,2025-09-11,59.54,3,0,Consumer,contacted
33214727_c0035,2024-10-25,0.09,4,25.63,Consumer,
33214727_c0036,2025-09-09,34.52,2,0,Consumer,
33214727_c0037,2024-10-08,82.28,6,117.14,Consumer,
33214727_c0038,01/10/2025,28.12,3,57.75,Consumer,
33214727_c0039,2025-08-11,62.01,2,23.24,SMB,
33214727_c0040,19/12/2024,12.95,6,27.27,SMB,
33214727_c0041,2025-12-08,237.49,10,,Consumer,
33214727_c0042,2025-10-06,239.46,6,127.17,Consumer,N/A
33214727_c0043,01/03/2025,137.9,7,83.36,SMB,
33214727_c0044,2025-09-25,138.62,4,151.47,SMB,returned
33214727_c0045,2025-05-19,111.48,5,0,SMB,no response
33214727_c0046,"Jun 21, 2025",238.08,4,139.29,Consumer,
33214727_c0047,21/11/2024,93.35,4,75.35,Enterprise,N/A
33214727_c0048,2025-01-11,185.91,9,,Enterprise,
33214727_c0049,2025-01-12,190.36,8,145.43,Consumer,
33214727_c0050,2025-01-29,190.35,5,,Consumer,
33214727_c0051,2025-10-17,6.77,4,153.95,Enterprise,returned
33214727_c0052,2024-10-19,31.17,6,0,Enterprise,
33214727_c0053,2025-01-20,195.25,7,89.78,Consumer,
33214727_c0054,25/12/2025,148.54,6,,Consumer,
33214727_c0055,2025-12-27,149.68,8,106.27,Consumer,
33214727_c0056,06/01/2025,107.31,5,70.47,Consumer,
33214727_c0057,26/11/2025,120.64,2,116.07,Consumer,N/A
33214727_c0058,2025-11-13,93.74,2,141.88,SMB,
33214727_c0059,,108.3,10,31.32,SMB,contacted
33214727_c0060,,121.94,6,16.52,SMB,
33214727_c0061,2024-10-11,240.72,11,127.23,Consumer,
33214727_c0062,2025-01-02,216.71,6,125.74,SMB,
33214727_c0063,26/07/2025,19.78,5,0,SMB,
33214727_c0064,07/06/2025,169.05,6,141.9,SMB,
33214727_c0065,2025-09-25,14.96,6,0,Consumer,
33214727_c0066,2025-09-14,156.11,6,,Consumer,no response
33214727_c0067,2025-10-27,48.63,7,33.05,Enterprise,
33214727_c0068,31/07/2025,110.13,1,34.8,SMB,contacted
33214727_c0069,,51.82,4,56.57,SMB,
33214727_c0070,2025-12-21,75.77,4,87.34,SMB,
33214727_c0071,2024-12-31,117.95,5,58.36,Consumer,
33214727_c0072,N/A,92.72,7,0,Consumer,contacted
33214727_c0073,2024-11-12,96.85,1,,SMB,
33214727_c0074,2025-05-16,19.6,3,0,SMB,
33214727_c0075,2025-10-21,113.91,6,119.89,Consumer,
33214727_c0076,2024-10-11,131.78,7,51.49,Consumer,
33214727_c0077,"Dec 29, 2024",120.62,2,99.05,Consumer,
33214727_c0078,17/04/2025,113.06,4,0,Consumer,
33214727_c0079,2025-03-22,196.32,8,226.01,Consumer,
33214727_c0080,2025-08-25,55.63,2,0,Consumer,returned
33214727_c0081,18/03/2025,212.03,4,,Consumer,
33214727_c0082,12/03/2025,193.6,7,145.69,Consumer,
33214727_c0083,2025-10-23,20.32,2,111.47,Consumer,
33214727_c0084,29/11/2024,53.52,3,70.02,SMB,
33214727_c0085,10/03/2025,249.28,4,217.19,Consumer,
